URL,title,country,dynastic period,time period,image
http://www.mfa.org/collections/object/tsuba-228264, Tsuba,Japanese,Early 19th century," <a href=""/collections/search?f[0]=field_artists%253Afield_artist%3A14370"">Juraku</a> (Japanese)",[]
http://www.mfa.org/collections/object/tsuba-13549,Tsuba,Japanese,Edo period,Late 18th–early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC41396.jpg']
http://www.mfa.org/collections/object/tsuba-22888,Tsuba,Japanese,Kofun period,6th–7th century A.D.,['http://mfas3.s3.amazonaws.com/objects/SC157234.jpg']
http://www.mfa.org/collections/object/tsuba-22891,Tsuba,Japanese,Kofun period,6th–7th century A.D.,['http://mfas3.s3.amazonaws.com/objects/SC157234.jpg']
http://www.mfa.org/collections/object/tsuba-22892,Tsuba,Japanese,Kofun period,6th–7th century A.D.,['http://mfas3.s3.amazonaws.com/objects/SC157234.jpg']
http://www.mfa.org/collections/object/tsuba-226434, Tsuba,Japanese,Edo period,early to mid-19th century,[]
http://www.mfa.org/collections/object/tsuba-285950,Tsuba,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC61097.jpg']
http://www.mfa.org/collections/object/tachi-tsuba-11430,Tachi tsuba,Japanese,Edo period,late 18th to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50649.jpg']
http://www.mfa.org/collections/object/tsuba-plain-12155,"Tsuba, plain",Japanese,Edo period,19th century,['http://mfas3.s3.amazonaws.com/objects/SC57601.jpg']
http://www.mfa.org/collections/object/tsuba-with-inscription-13715,Tsuba with inscription,Japanese,Edo period,early to mid-18th century,['http://mfas3.s3.amazonaws.com/objects/SC44343.jpg']
http://www.mfa.org/collections/object/tsuba-in-the-form-of-a-butterfly-13533,Tsuba in the form of a butterfly,Myochin school?,mid-18th century," <a href=""/collections/search?f[0]=field_artists%253Afield_artist%3A1308"">Kunihiro</a> (Japanese, dates unknown)",['http://mfas3.s3.amazonaws.com/objects/SC41380.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-cherry-blossom-205168, Tsuba with design of cherry blossom,Japanese,Edo period,early to mid-19th century,[]
http://www.mfa.org/collections/object/tsuba-with-ogival-outline-8414,Tsuba with ogival outline,Japanese,Edo period,early to mid-19th century (?),['http://mfas3.s3.amazonaws.com/objects/SC108095.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-dog-and-duck-8419,Tsuba with design of dog and duck,Japanese,Edo period,19th century,['http://mfas3.s3.amazonaws.com/objects/SC108099.jpg']
http://www.mfa.org/collections/object/tsuba-with-brass-wire-encrustation-8420,Tsuba with brass wire encrustation,Japanese,Edo period,18th century (?),['http://mfas3.s3.amazonaws.com/objects/SC108100.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-insects-8421,Tsuba with design of insects,Japanese,Edo period,Late 18th–early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC108101.jpg']
http://www.mfa.org/collections/object/tsuba-with-landscape-design-8422,Tsuba with landscape design,Japanese,Edo period,Late 17th century (?),['http://mfas3.s3.amazonaws.com/objects/SC108102.jpg']
http://www.mfa.org/collections/object/tsuba-with-woodgrain-patterns-8423,Tsuba with woodgrain patterns,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC108103.jpg']
http://www.mfa.org/collections/object/tsuba-with-pierced-design-8424,Tsuba with pierced design,Japanese,Edo period,mid-late 17th century,['http://mfas3.s3.amazonaws.com/objects/SC108104.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-landscape-with-figures-8425,Tsuba with design of landscape with figures,Japanese,Edo period,Late 18th–early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC108105.jpg']
http://www.mfa.org/collections/object/tsuba-with-kikkomon-ground-8428,Tsuba with kikkomon ground,Japanese,Edo period,19th century (?),['http://mfas3.s3.amazonaws.com/objects/SC108108.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-marsh-marigold-8429,Tsuba with design of marsh marigold,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC108109.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-two-leaves-8432,Tsuba with design of two leaves,Japanese,Edo period,Late 18th–early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC108112.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-waterside-palace-8433,Tsuba with design of waterside palace,Japanese,Edo period,Late 18th–early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC108113.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-peonies-and-dewdrops-8436,Tsuba with design of peonies and dewdrops,Japanese,Edo period,Early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC108117.jpg']
http://www.mfa.org/collections/object/tsuba-with-pierced-design-8437,Tsuba with pierced design,Japanese,Edo period,mid-late 17th century,['http://mfas3.s3.amazonaws.com/objects/SC108093.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-clouds-and-lightning-8438,Tsuba with design of clouds and lightning,Japanese,Edo period,early to mid-19th century (?),['http://mfas3.s3.amazonaws.com/objects/SC108118.jpg']
